name,owner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,issues,closedIssues,stars
nvm,nvm-sh,2010-04-15T17:47:47Z,2026-03-13T15:25:36Z,Shell,741,71,0,0,92264
DeepSeek-R1,deepseek-ai,2025-01-20T11:57:28Z,2026-03-13T14:15:34Z,None,10,1,0,0,91967
app-ideas,florinpop17,2019-02-25T18:36:56Z,2026-03-13T15:39:36Z,None,151,0,0,0,91165
markitdown,microsoft,2024-11-13T19:56:40Z,2026-03-13T15:47:54Z,Python,171,18,0,0,90692
vue-element-admin,PanJiaChen,2017-04-17T03:35:49Z,2026-03-13T07:32:25Z,Vue,311,49,0,0,90287
storybook,storybookjs,2016-03-18T04:23:44Z,2026-03-13T15:48:07Z,TypeScript,12343,1000,0,0,89441
bitcoin,bitcoin,2010-12-19T15:16:43Z,2026-03-13T13:19:27Z,C++,16230,63,0,0,88464
gin,gin-gonic,2014-06-16T23:57:25Z,2026-03-13T14:42:07Z,Go,1227,29,0,0,88222
bun,oven-sh,2021-04-14T00:48:17Z,2026-03-13T15:46:09Z,Zig,7212,210,0,0,88083
LLMs-from-scratch,rasbt,2023-07-23T18:15:57Z,2026-03-13T15:48:32Z,Jupyter Notebook,483,0,0,0,87920
NextChat,ChatGPTNextWeb,2023-03-10T18:27:54Z,2026-03-13T15:35:06Z,TypeScript,894,77,0,0,87470
hugo,gohugoio,2013-07-04T15:26:26Z,2026-03-13T15:28:43Z,Go,3250,365,0,0,87061
django,django,2012-04-28T02:47:18Z,2026-03-13T15:48:41Z,Python,10344,0,0,0,87027
mermaid,mermaid-js,2014-11-01T23:52:32Z,2026-03-13T15:45:15Z,TypeScript,2605,184,0,0,86625
opencv,opencv,2012-07-19T09:40:17Z,2026-03-13T15:09:47Z,C++,13518,67,0,0,86575
svelte,sveltejs,2016-11-20T18:13:05Z,2026-03-13T15:46:34Z,JavaScript,6546,610,0,0,86039
weekly,ruanyf,2018-10-13T12:36:07Z,2026-03-13T15:41:13Z,None,106,0,0,0,85929
core,home-assistant,2013-09-17T07:29:48Z,2026-03-13T15:38:40Z,Python,82798,1000,0,0,85313
manim,3b1b,2015-03-22T18:50:58Z,2026-03-13T15:49:31Z,Python,661,13,0,0,85214
ML-For-Beginners,microsoft,2021-03-03T01:34:05Z,2026-03-13T15:45:22Z,Jupyter Notebook,446,0,0,0,84308
playwright,microsoft,2019-11-15T18:32:42Z,2026-03-13T15:48:07Z,TypeScript,16342,158,0,0,84161
uptime-kuma,louislam,2021-07-03T01:02:42Z,2026-03-13T15:42:36Z,JavaScript,1698,126,0,0,84019
laravel,laravel,2011-06-08T03:06:08Z,2026-03-13T15:46:32Z,Blade,1672,213,0,0,83939
awesome-for-beginners,MunGell,2015-10-24T19:53:36Z,2026-03-13T15:01:48Z,None,469,0,0,0,83436
mall,macrozheng,2018-04-04T01:11:44Z,2026-03-13T15:36:17Z,Java,1,3,0,0,83130
awesome-mcp-servers,punkpeye,2024-11-30T04:49:10Z,2026-03-13T15:42:54Z,None,1561,0,0,0,82997
realworld,realworld-apps,2016-02-26T20:49:53Z,2026-03-13T15:11:44Z,TypeScript,434,0,0,0,82987
animate.css,animate-css,2011-10-12T10:07:38Z,2026-03-13T14:17:15Z,CSS,315,22,0,0,82627
devops-exercises,bregman-arie,2019-10-03T17:31:21Z,2026-03-13T14:50:05Z,Python,309,0,0,0,81478
superpowers,obra,2025-10-09T19:45:18Z,2026-03-13T15:49:22Z,Shell,43,0,0,0,81428
awesome-interview-questions,DopplerHQ,2015-11-28T09:48:17Z,2026-03-13T14:39:53Z,None,175,0,0,0,81388
FiraCode,tonsky,2014-11-11T19:32:38Z,2026-03-13T09:56:44Z,Clojure,142,29,0,0,81281
servers,modelcontextprotocol,2024-11-19T01:10:17Z,2026-03-13T15:36:48Z,TypeScript,1180,24,0,0,81008
uv,astral-sh,2023-10-02T20:24:11Z,2026-03-13T15:33:03Z,Rust,8574,260,0,0,80880
syncthing,syncthing,2013-11-26T09:48:21Z,2026-03-13T14:34:12Z,Go,2841,463,0,0,80783
browser-use,browser-use,2024-10-31T16:00:56Z,2026-03-13T15:47:09Z,Python,1684,119,0,0,80651
